Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10
hepatitis A,joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,mild fever,yellowing of eyes,muscle pain
Hepatitis B,itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise
Hepatitis B,itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise
Hepatitis B,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion
Hepatitis B,itching,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion
Hepatitis B,itching,fatigue,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion
Hepatitis B,itching,fatigue,lethargy,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion
Hepatitis B,itching,fatigue,lethargy,yellowish skin,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion
Hepatitis B,itching,fatigue,lethargy,yellowish skin,dark urine,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion
Hepatitis B,itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,yellow urine,yellowing of eyes,malaise,receiving blood transfusion
Hepatitis B,itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellowing of eyes,malaise,receiving blood transfusion
Hepatitis C,fatigue,yellowish skin,nausea,loss of appetite,family history,yellowing of eyes,,,,
Hepatitis C,fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history,,,,
Hepatitis C,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history,fatigue,,,,
Hepatitis C,fatigue,nausea,loss of appetite,yellowing of eyes,family history,yellowish skin,,,,
Hepatitis C,fatigue,yellowish skin,loss of appetite,yellowing of eyes,family history,nausea,,,,
Hepatitis C,fatigue,yellowish skin,nausea,yellowing of eyes,family history,loss of appetite,,,,
Hepatitis C,fatigue,yellowish skin,nausea,loss of appetite,family history,yellowing of eyes,,,,
Hepatitis C,fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history,,,,
Hepatitis C,fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history,,,,
Hepatitis C,fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history,,,,
Hepatitis D,joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,
Hepatitis D,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,joint pain,
Hepatitis D,joint pain,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,vomiting,
Hepatitis D,joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,fatigue,
Hepatitis D,joint pain,vomiting,fatigue,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,yellowish skin,
Hepatitis D,joint pain,vomiting,fatigue,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes,dark urine,
Hepatitis D,joint pain,vomiting,fatigue,yellowish skin,dark urine,loss of appetite,abdominal pain,yellowing of eyes,nausea,
Hepatitis D,joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,abdominal pain,yellowing of eyes,loss of appetite,
Hepatitis D,joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,yellowing of eyes,abdominal pain,
Hepatitis D,joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,
Hepatitis E,joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes
Hepatitis E,joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes
Hepatitis E,joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes
Hepatitis E,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure
Hepatitis E,joint pain,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure
Hepatitis E,joint pain,vomiting,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure
Hepatitis E,joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure
Hepatitis E,joint pain,vomiting,fatigue,high fever,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure
Hepatitis E,joint pain,vomiting,fatigue,high fever,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure
Hepatitis E,joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure
Alcoholic hepatitis,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload,,,
Alcoholic hepatitis,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload,,,
Alcoholic hepatitis,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload,vomiting,,,
Alcoholic hepatitis,vomiting,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload,yellowish skin,,,
Alcoholic hepatitis,vomiting,yellowish skin,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload,abdominal pain,,,
Alcoholic hepatitis,vomiting,yellowish skin,abdominal pain,distention of abdomen,history of alcohol consumption,fluid overload,swelling of stomach,,,
Alcoholic hepatitis,vomiting,yellowish skin,abdominal pain,swelling of stomach,history of alcohol consumption,fluid overload,distention of abdomen,,,
Alcoholic hepatitis,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,fluid overload,history of alcohol consumption,,,
Alcoholic hepatitis,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload,,,
Alcoholic hepatitis,vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload,,,
Tuberculosis,chills,vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever
Tuberculosis,chills,vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever
Tuberculosis,vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes
Tuberculosis,chills,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes
Tuberculosis,chills,vomiting,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes
Tuberculosis,chills,vomiting,fatigue,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes
Tuberculosis,chills,vomiting,fatigue,weight loss,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes
Tuberculosis,chills,vomiting,fatigue,weight loss,cough,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes
Tuberculosis,chills,vomiting,fatigue,weight loss,cough,high fever,sweating,loss of appetite,mild fever,yellowing of eyes
Tuberculosis,chills,vomiting,fatigue,weight loss,cough,high fever,breathlessness,loss of appetite,mild fever,yellowing of eyes
Common Cold,continuous sneezing,chills,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation
Common Cold,continuous sneezing,chills,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation
Common Cold,chills,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes
Common Cold,continuous sneezing,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes
Common Cold,continuous sneezing,chills,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes
Common Cold,continuous sneezing,chills,fatigue,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes
Common Cold,continuous sneezing,chills,fatigue,cough,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes
Common Cold,continuous sneezing,chills,fatigue,cough,high fever,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes
Common Cold,continuous sneezing,chills,fatigue,cough,high fever,headache,malaise,phlegm,throat irritation,redness of eyes
Common Cold,continuous sneezing,chills,fatigue,cough,high fever,headache,swelled lymph nodes,phlegm,throat irritation,redness of eyes
Pneumonia,chills,fatigue,cough,high fever,breathlessness,sweating,malaise,chest pain,fast heart rate,rusty sputum
Pneumonia,chills,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate
Pneumonia,chills,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate
Pneumonia,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum
Pneumonia,chills,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum
Pneumonia,chills,fatigue,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum
Pneumonia,chills,fatigue,cough,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum
Pneumonia,chills,fatigue,cough,high fever,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum
Pneumonia,chills,fatigue,cough,high fever,breathlessness,malaise,phlegm,chest pain,fast heart rate,rusty sputum
Pneumonia,chills,fatigue,cough,high fever,breathlessness,sweating,phlegm,chest pain,fast heart rate,rusty sputum
Dimorphic hemmorhoids(piles),constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus,,,,,
Dimorphic hemmorhoids(piles),constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus,,,,,
Dimorphic hemmorhoids(piles),constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus,,,,,
Dimorphic hemmorhoids(piles),pain during bowel movements,pain in anal region,bloody stool,irritation in anus,constipation,,,,,
Dimorphic hemmorhoids(piles),constipation,pain in anal region,bloody stool,irritation in anus,pain during bowel movements,,,,,
Dimorphic hemmorhoids(piles),constipation,pain during bowel movements,bloody stool,irritation in anus,pain in anal region,,,,,
Dimorphic hemmorhoids(piles),constipation,pain during bowel movements,pain in anal region,irritation in anus,bloody stool,,,,,
Dimorphic hemmorhoids(piles),constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus,,,,,
Dimorphic hemmorhoids(piles),constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus,,,,,
Dimorphic hemmorhoids(piles),constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus,,,,,
Heart attack,vomiting,breathlessness,sweating,chest pain,,,,,,
Heart attack,vomiting,breathlessness,sweating,chest pain,,,,,,
Heart attack,breathlessness,sweating,chest pain,vomiting,,,,,,
Heart attack,vomiting,sweating,chest pain,breathlessness,,,,,,
Heart attack,vomiting,breathlessness,chest pain,sweating,,,,,,
Heart attack,vomiting,breathlessness,sweating,chest pain,,,,,,
Heart attack,vomiting,breathlessness,sweating,chest pain,,,,,,
Heart attack,breathlessness,sweating,chest pain,vomiting,,,,,,
Heart attack,vomiting,sweating,chest pain,breathlessness,,,,,,
Heart attack,vomiting,breathlessness,chest pain,sweating,,,,,,
Varicose veins,fatigue,cramps,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf,,,
Varicose veins,fatigue,cramps,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf,,,
Varicose veins,cramps,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf,fatigue,,,
Varicose veins,fatigue,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf,cramps,,,
Varicose veins,fatigue,cramps,obesity,swollen legs,swollen blood vessels,prominent veins on calf,bruising,,,
Varicose veins,fatigue,cramps,bruising,swollen legs,swollen blood vessels,prominent veins on calf,obesity,,,
Varicose veins,fatigue,cramps,bruising,obesity,swollen blood vessels,prominent veins on calf,swollen legs,,,
Varicose veins,fatigue,cramps,bruising,obesity,swollen legs,prominent veins on calf,swollen blood vessels,,,
Varicose veins,fatigue,cramps,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf,,,
Varicose veins,fatigue,cramps,bruising,obesity,swollen legs,prominent veins on calf,swollen blood vessels,,,
Hypothyroidism,fatigue,weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties
Hypothyroidism,fatigue,weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties
Hypothyroidism,weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression
Hypothyroidism,weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression
Hypothyroidism,fatigue,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression
Hypothyroidism,fatigue,weight gain,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression
Hypothyroidism,fatigue,weight gain,cold hands and feets,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression
Hypothyroidism,fatigue,weight gain,cold hands and feets,mood swings,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression
Hypothyroidism,fatigue,weight gain,cold hands and feets,mood swings,lethargy,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression
Hypothyroidism,fatigue,weight gain,cold hands and feets,mood swings,lethargy,dizziness,enlarged thyroid,brittle nails,swollen extremeties,depression
Hyperthyroidism,fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability
Hyperthyroidism,fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability
Hyperthyroidism,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation
Hyperthyroidism,fatigue,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation
Hyperthyroidism,fatigue,mood swings,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation
Hyperthyroidism,fatigue,mood swings,weight loss,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation
Hyperthyroidism,fatigue,mood swings,weight loss,restlessness,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation
Hyperthyroidism,fatigue,mood swings,weight loss,restlessness,sweating,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation
Hyperthyroidism,fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,excessive hunger,muscle weakness,irritability,abnormal menstruation
Hyperthyroidism,fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,muscle weakness,irritability,abnormal menstruation
Hypoglycemia,vomiting,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,slurred speech,irritability
Hypoglycemia,vomiting,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech
Hypoglycemia,vomiting,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech
Hypoglycemia,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability
Hypoglycemia,vomiting,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability
Hypoglycemia,vomiting,fatigue,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability
Hypoglycemia,vomiting,fatigue,anxiety,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability
Hypoglycemia,vomiting,fatigue,anxiety,sweating,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability
Hypoglycemia,vomiting,fatigue,anxiety,sweating,headache,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability
Hypoglycemia,vomiting,fatigue,anxiety,sweating,headache,nausea,excessive hunger,drying and tingling lips,slurred speech,irritability
Osteoarthristis,joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking,,,,
Osteoarthristis,joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking,,,,
Osteoarthristis,neck pain,knee pain,hip joint pain,swelling joints,painful walking,joint pain,,,,
Osteoarthristis,joint pain,knee pain,hip joint pain,swelling joints,painful walking,neck pain,,,,
Osteoarthristis,joint pain,neck pain,hip joint pain,swelling joints,painful walking,knee pain,,,,
Osteoarthristis,joint pain,neck pain,knee pain,swelling joints,painful walking,hip joint pain,,,,
Osteoarthristis,joint pain,neck pain,knee pain,hip joint pain,painful walking,swelling joints,,,,
Osteoarthristis,joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking,,,,
Osteoarthristis,joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking,,,,
Osteoarthristis,joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking,,,,
Arthritis,muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking,,,,,
Arthritis,muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking,,,,,
Arthritis,stiff neck,swelling joints,movement stiffness,painful walking,muscle weakness,,,,,
Arthritis,muscle weakness,swelling joints,movement stiffness,painful walking,stiff neck,,,,,
Arthritis,muscle weakness,stiff neck,movement stiffness,painful walking,swelling joints,,,,,
Arthritis,muscle weakness,stiff neck,swelling joints,painful walking,movement stiffness,,,,,
Arthritis,muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking,,,,,
Arthritis,muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking,,,,,
Arthritis,muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking,,,,,
Arthritis,muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking,,,,,
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning movements,loss of balance,unsteadiness,,,,
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning movements,loss of balance,unsteadiness,,,,
(vertigo) Paroymsal  Positional Vertigo,headache,nausea,spinning movements,loss of balance,unsteadiness,vomiting,,,,
(vertigo) Paroymsal  Positional Vertigo,vomiting,nausea,spinning movements,loss of balance,unsteadiness,headache,,,,
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,spinning movements,loss of balance,unsteadiness,nausea,,,,
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,loss of balance,unsteadiness,spinning movements,,,,
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning movements,unsteadiness,loss of balance,,,,
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning movements,loss of balance,unsteadiness,,,,
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning movements,loss of balance,unsteadiness,,,,
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,loss of balance,unsteadiness,spinning movements,,,,
Acne,skin rash,pus filled pimples,blackheads,scurring,,,,,,
Acne,skin rash,pus filled pimples,blackheads,scurring,,,,,,
Acne,pus filled pimples,blackheads,scurring,skin rash,,,,,,
Acne,skin rash,blackheads,scurring,pus filled pimples,,,,,,
Acne,skin rash,pus filled pimples,scurring,blackheads,,,,,,
Acne,skin rash,pus filled pimples,blackheads,scurring,,,,,,
Acne,skin rash,pus filled pimples,blackheads,scurring,,,,,,
Acne,skin rash,pus filled pimples,blackheads,scurring,,,,,,
Acne,skin rash,pus filled pimples,scurring,blackheads,,,,,,
Acne,skin rash,blackheads,scurring,pus filled pimples,,,,,,
Urinary tract infection,burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine,,,,,,
Urinary tract infection,burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine,,,,,,
Urinary tract infection,bladder discomfort,foul smell of urine,continuous feel of urine,burning micturition,,,,,,
Urinary tract infection,burning micturition,foul smell of urine,continuous feel of urine,bladder discomfort,,,,,,
Urinary tract infection,burning micturition,bladder discomfort,continuous feel of urine,foul smell of urine,,,,,,
Urinary tract infection,burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine,,,,,,
Urinary tract infection,burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine,,,,,,
Urinary tract infection,burning micturition,bladder discomfort,continuous feel of urine,foul smell of urine,,,,,,
Urinary tract infection,bladder discomfort,foul smell of urine,continuous feel of urine,burning micturition,,,,,,
Urinary tract infection,burning micturition,bladder discomfort,continuous feel of urine,foul smell of urine,,,,,,
Psoriasis,skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails,,,,
Psoriasis,skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails,,,,
Psoriasis,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails,skin rash,,,,
Psoriasis,skin rash,skin peeling,silver like dusting,small dents in nails,inflammatory nails,joint pain,,,,
Psoriasis,skin rash,joint pain,silver like dusting,small dents in nails,inflammatory nails,skin peeling,,,,
Psoriasis,skin rash,joint pain,skin peeling,small dents in nails,inflammatory nails,silver like dusting,,,,
Psoriasis,skin rash,joint pain,skin peeling,silver like dusting,inflammatory nails,small dents in nails,,,,
Psoriasis,skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails,,,,
Psoriasis,skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails,,,,
Psoriasis,skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails,,,,
Impetigo,skin rash,high fever,blister,red sore around nose,yellow crust ooze,high fever,red sore around nose,0,skin rash,blister
Impetigo,skin rash,high fever,blister,red sore around nose,yellow crust ooze,high fever,red sore around nose,0,skin rash,blister
Impetigo,high fever,blister,red sore around nose,yellow crust ooze,high fever,red sore around nose,0,skin rash,skin rash,blister
Impetigo,skin rash,blister,red sore around nose,yellow crust ooze,high fever,high fever,red sore around nose,0,skin rash,blister
Impetigo,skin rash,blister,red sore around nose,yellow crust ooze,high fever,high fever,red sore around nose,0,skin rash,blister
Impetigo,skin rash,high fever,red sore around nose,yellow crust ooze,high fever,red sore around nose,blister,skin rash,0,blister
Impetigo,skin rash,high fever,blister,yellow crust ooze,high fever,red sore around nose,red sore around nose,0,skin rash,blister
Impetigo,skin rash,high fever,blister,red sore around nose,high fever,yellow crust ooze,red sore around nose,0,skin rash,blister
Impetigo,skin rash,high fever,blister,red sore around nose,yellow crust ooze,high fever,red sore around nose,0,skin rash,blister
Impetigo,skin rash,blister,red sore around nose,yellow crust ooze,high fever,high fever,red sore around nose,0,skin rash,blister
Fungal infection,itching,skin rash,nodal skin eruptions,dischromic  patches,0,skin rash,nodal skin eruptions,itching,,
Fungal infection,skin rash,nodal skin eruptions,dischromic  patches,itching,0,skin rash,nodal skin eruptions,itching,,
Fungal infection,itching,nodal skin eruptions,dischromic  patches,0,skin rash,skin rash,nodal skin eruptions,itching,,
Fungal infection,itching,skin rash,dischromic  patches,nodal skin eruptions,0,skin rash,nodal skin eruptions,itching,,
Fungal infection,itching,skin rash,nodal skin eruptions,0,dischromic  patches,skin rash,nodal skin eruptions,itching,,
Fungal infection,skin rash,nodal skin eruptions,dischromic  patches,itching,0,skin rash,nodal skin eruptions,itching,,
Fungal infection,itching,nodal skin eruptions,dischromic  patches,0,skin rash,skin rash,nodal skin eruptions,itching,,
Fungal infection,itching,skin rash,dischromic  patches,nodal skin eruptions,0,skin rash,nodal skin eruptions,itching,,
Fungal infection,itching,skin rash,nodal skin eruptions,0,dischromic  patches,skin rash,nodal skin eruptions,itching,,
Fungal infection,itching,skin rash,nodal skin eruptions,dischromic  patches,0,skin rash,nodal skin eruptions,itching,,
Allergy,continuous sneezing,shivering,chills,watering from eyes,,,,,,
Allergy,shivering,chills,watering from eyes,continuous sneezing,,,,,,
Allergy,continuous sneezing,chills,watering from eyes,shivering,,,,,,
Allergy,continuous sneezing,shivering,watering from eyes,chills,,,,,,
Allergy,continuous sneezing,shivering,chills,watering from eyes,,,,,,
Allergy,shivering,chills,watering from eyes,continuous sneezing,,,,,,
Allergy,continuous sneezing,chills,watering from eyes,shivering,,,,,,
Allergy,continuous sneezing,shivering,watering from eyes,chills,,,,,,
Allergy,continuous sneezing,shivering,chills,watering from eyes,,,,,,
Allergy,continuous sneezing,shivering,chills,watering from eyes,,,,,,
GERD,stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain,,,,
GERD,stomach pain,ulcers on tongue,vomiting,cough,chest pain,acidity,,,,
GERD,stomach pain,acidity,vomiting,cough,chest pain,ulcers on tongue,,,,
GERD,stomach pain,acidity,ulcers on tongue,cough,chest pain,vomiting,,,,
GERD,stomach pain,acidity,ulcers on tongue,vomiting,chest pain,cough,,,,
GERD,stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain,,,,
GERD,acidity,ulcers on tongue,vomiting,cough,chest pain,stomach pain,,,,
GERD,stomach pain,ulcers on tongue,vomiting,cough,chest pain,acidity,,,,
GERD,stomach pain,acidity,vomiting,cough,chest pain,ulcers on tongue,,,,
GERD,stomach pain,acidity,ulcers on tongue,cough,chest pain,vomiting,,,,
Chronic cholestasis,itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes,,,
Chronic cholestasis,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes,itching,,,
Chronic cholestasis,itching,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes,vomiting,,,
Chronic cholestasis,itching,vomiting,nausea,loss of appetite,abdominal pain,yellowing of eyes,yellowish skin,,,
Chronic cholestasis,itching,vomiting,yellowish skin,loss of appetite,abdominal pain,yellowing of eyes,nausea,,,
Chronic cholestasis,itching,vomiting,yellowish skin,nausea,abdominal pain,yellowing of eyes,loss of appetite,,,
Chronic cholestasis,itching,vomiting,yellowish skin,nausea,loss of appetite,yellowing of eyes,abdominal pain,,,
Chronic cholestasis,itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes,,,
Chronic cholestasis,itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes,,,
Chronic cholestasis,itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes,,,
Drug Reaction,itching,skin rash,stomach pain,burning micturition,spotting  urination,,,,,
Drug Reaction,itching,stomach pain,burning micturition,spotting  urination,skin rash,,,,,
Drug Reaction,itching,skin rash,burning micturition,spotting  urination,stomach pain,,,,,
Drug Reaction,itching,skin rash,stomach pain,spotting  urination,burning micturition,,,,,
Drug Reaction,itching,skin rash,stomach pain,burning micturition,spotting  urination,,,,,
Drug Reaction,skin rash,stomach pain,burning micturition,spotting  urination,itching,,,,,
Drug Reaction,itching,stomach pain,burning micturition,spotting  urination,skin rash,,,,,
Drug Reaction,itching,skin rash,burning micturition,spotting  urination,stomach pain,,,,,
Drug Reaction,itching,skin rash,stomach pain,spotting  urination,burning micturition,,,,,
Drug Reaction,itching,skin rash,stomach pain,burning micturition,spotting  urination,,,,,
Peptic ulcer diseae,vomiting,loss of appetite,abdominal pain,passage of gases,internal itching,indigestion,,,,
